Index,One,Life_Expectancy,Status,Adult_Mortality,Infant_Deaths,Hepatitis_B,BMI,Under_Five_Deaths,Polio,Diphtheria,HIV_AIDS,GDP,Population,Income_Composition_of_Resources,Schooling
1,1,65,Developing,263,62,65,19.1,83,6,65,0.1,584.25921,33736494,0.479,10.1
2,1,77.8,Developing,74,0,99,58,0,99,99,0.1,3954.22783,28873,0.762,14.2
3,1,75.6,Developing,19,21,95,59.5,24,95,95,0.1,4132.76292,39871528,0.743,14.4
4,1,52.4,Developing,335,66,64,23.3,98,7,64,1.9,3695.793748,2785935,0.531,11.4
5,1,76.4,Developing,13,0,99,47.7,0,86,99,0.2,13566.9541,,0.784,13.9
6,1,76.3,Developing,116,8,94,62.8,9,93,94,0.1,13467.1236,43417765,0.826,17.3
7,1,74.8,Developing,118,1,94,54.9,1,96,94,0.1,369.654776,291695,0.741,12.7
8,1,82.8,Developed,59,1,93,66.6,1,93,93,0.1,56554.3876,23789338,0.937,20.4
9,1,81.5,Developed,65,0,93,57.6,0,93,93,0.1,43665.947,8633169,0.892,15.9
10,1,72.7,Developing,118,5,96,52.5,6,98,96,0.1,55.31382,9649341,0.758,12.7
11,1,76.1,Developing,147,0,95,64.5,0,95,95,0.1,,,0.79,12.6
12,1,76.9,Developing,69,0,98,63.6,0,98,98,0.1,22688.87824,,0.823,14.5
13,1,71.8,Developing,129,92,97,18.3,113,97,97,0.1,121.15812,1612886,0.575,10.2
14,1,75.5,Developing,98,0,97,54.5,0,97,97,0.1,15557.8381,,0.794,15.3
15,1,72.3,Developing,196,0,99,62.3,0,99,99,0.1,5949.11677,9489616,0.798,15.6
16,1,81.1,Developed,74,0,98,63.7,1,99,99,0.1,4356.875,11274196,0.895,16.6
17,1,71,Developing,175,0,94,5.9,0,94,94,0.2,4849.997495,359288,0.706,12.8
18,1,60,Developing,249,25,82,25.7,39,78,82,1,783.94791,1575952,0.481,10.7
19,1,69.8,Developing,211,0,99,24.5,0,98,99,0.5,2613.645177,787386,0.604,12.5
20,1,77,Developing,186,8,99,52.6,10,99,99,0.1,,,0.671,13.8
21,1,77.4,Developing,88,0,82,55.8,0,74,82,0.1,4574.9787,3535961,0.747,14.2
